Leverage,Debt_Amount,Annual_Debt_Service,Cash_DSCR,Base_Threshold_Pass,Low_Threshold_Pass,Viable
1.50x,3316500.0,660693.921902007,2.0964008235653675,True,True,True
1.75x,3869250.0,770809.5755523414,1.7969149916274578,True,True,True
2.00x,4422000.0,880925.2292026759,1.5723006176740257,False,True,False
2.25x,4974750.0,991040.8828530104,1.3976005490435783,False,False,False
2.50x,5527500.0,1101156.5365033448,1.2578404941392205,False,False,False
2.75x,6080250.0,1211272.1901536793,1.1434913583083823,False,False,False
3.00x,6633000.0,1321387.843804014,1.0482004117826837,False,False,False
3.25x,7185750.0,1431503.4974543483,0.9675696108763235,False,False,False
3.50x,7738500.0,1541619.1511046828,0.8984574958137289,False,False,False
3.75x,8291250.0,1651734.8047550172,0.8385603294261471,False,False,False
4.00x,8844000.0,1761850.4584053517,0.7861503088370129,False,False,False
4.25x,9396750.0,1871966.1120556863,0.7399061730230708,False,False,False
4.50x,9949500.0,1982081.7657060209,0.6988002745217892,False,False,False
